rack_id,x_min,x_max,y_min,y_max,z_min,z_max,heat_kw
RACK-01,4.5868,7.53181,0.0,4.781,8.98511,9.737109166666666,35.0
RACK-02,4.5868,7.53181,0.0,4.781,9.737109166666666,10.489108333333334,35.0
RACK-03,4.5868,7.53181,0.0,4.781,10.489108333333334,11.2411075,23.0
RACK-04,4.5868,7.53181,0.0,4.781,11.2411075,11.993106666666668,23.0
RACK-05,4.5868,7.53181,0.0,4.781,11.993106666666668,12.745105833333334,23.0
RACK-06,4.5868,7.53181,0.0,4.781,12.745105833333334,13.497105000000001,23.0
RACK-07,4.5868,7.53181,0.0,4.781,13.497105000000001,14.249104166666667,23.0
RACK-08,4.5868,7.53181,0.0,4.781,14.249104166666667,15.001103333333333,23.0
RACK-09,4.5868,7.53181,0.0,4.781,15.001103333333333,15.7531025,23.0
RACK-10,4.5868,7.53181,0.0,4.781,15.7531025,16.50510166666667,10.0
RACK-11,4.5868,7.53181,0.0,4.781,16.50510166666667,17.257100833333332,10.0
RACK-12,4.5868,7.53181,0.0,4.781,17.257100833333332,18.0091,10.0
